"WEEKEND","NL63","OC43","E229","HKU1","ILI","NL63_ILI","OC43_ILI","E229_ILI","HKU1_ILI","WEEKINDEX"
2015-04-18,0.0138370305293213,0.0116406764770481,0.0109817702613661,0.00241598945750055,0.0153694,0.000212666857017351,0.000178910213046343,0.000168783219855041,3.71323083681089e-05,42
2015-04-25,0.0144371757274983,0.0106023009248816,0.00563952176855403,0.00270697044890593,0.0138283,0.000199641597112565,0.00014661179787954,7.79849988720957e-05,3.74327994586059e-05,43
2015-05-02,0.0136319376825706,0.0129016553067186,0.00876338851022395,0.00170399221032132,0.0146265,0.000199387536514119,0.00018870606134372,0.000128177702044791,2.49234420642649e-05,44
2015-05-09,0.00940665701881331,0.00723589001447178,0.00458273034249879,0.00120598166907863,0.0138934,0.000130690448625181,0.000100531114327062,6.36697057404728e-05,1.6755185721177e-05,45
2015-05-16,0.007715281234445,0.00447984071677451,0.00622200099552016,0.00124440019910403,0.013468,0.000103909407665505,6.03344947735192e-05,8.37979094076655e-05,1.67595818815331e-05,46
2015-05-23,0.00732984293193717,0.00732984293193717,0.00549738219895288,0.00418848167539267,0.0125452,9.19543455497382e-05,9.19543455497382e-05,6.89657591623037e-05,5.25453403141361e-05,47
2015-05-30,0.00439624853458382,0.00527549824150059,0.00293083235638921,0.00175849941383353,0.0121636,5.34742086752638e-05,6.41690504103165e-05,3.56494724501759e-05,2.13896834701055e-05,48
2015-06-06,0.0047361299052774,0.0047361299052774,0.0043978349120433,0.0023680649526387,0.0116734,5.52867388362652e-05,5.52867388362652e-05,5.13376860622463e-05,2.76433694181326e-05,49
2015-06-13,0.00390752197981114,0.0058612829697167,0.00488440247476392,0.00293064148485835,0.0104654,4.08937805275155e-05,6.13406707912732e-05,5.11172256593943e-05,3.06703353956366e-05,50
2015-06-20,0.00423579244617014,0.00776561948464525,0.00388280974232263,0.00211789622308507,0.00943661,3.99715213554536e-05,7.32811224849982e-05,3.66405612424991e-05,1.99857606777268e-05,51
2015-06-27,0.00421455938697318,0.0053639846743295,0.00114942528735632,0.00268199233716475,0.00935046,3.94080689655172e-05,5.0155724137931e-05,1.07476551724138e-05,2.50778620689655e-05,52
2015-07-04,0.00164338537387017,0.00205423171733772,0.00369761709120789,0.00205423171733772,0.00934726,1.53611503697617e-05,1.92014379622021e-05,3.45625883319638e-05,1.92014379622021e-05,53
2015-07-11,0.00574492531597089,0.00421294523171199,0.00382995021064726,0.00191497510532363,0.00864118,4.96429337418614e-05,3.6404818077365e-05,3.30952891612409e-05,1.65476445806205e-05,54
2015-07-18,0.00442477876106195,0.00321802091713596,0.000402252614641995,0.00201126307320998,0.00806535,3.5687389380531e-05,2.59544650040225e-05,3.24430812550282e-06,1.62215406275141e-05,55
2015-07-25,0.00289495450785773,0.0033085194375517,0.00124069478908189,0.00165425971877585,0.00742747,2.15021877584781e-05,2.45739288668321e-05,9.21522332506204e-06,1.2286964433416e-05,56
2015-08-01,0.00366300366300366,0.00284900284900285,0.00162800162800163,0.00122100122100122,0.00737859,2.70278021978022e-05,2.10216239316239e-05,1.20123565323565e-05,9.0092673992674e-06,57
2015-08-08,0.00362173038229376,0.00201207243460765,0.000804828973843058,0.00160965794768612,0.00743224,2.6917569416499e-05,1.49542052313883e-05,5.98168209255533e-06,1.19633641851107e-05,58
2015-08-15,0.00280448717948718,0.00200320512820513,0.000801282051282051,0.00200320512820513,0.00805251,2.25831610576923e-05,1.61308293269231e-05,6.45233173076923e-06,1.61308293269231e-05,59
2015-08-22,0.00621359223300971,0.00233009708737864,0.000388349514563107,0.000776699029126214,0.00816943,5.07615067961165e-05,1.90355650485437e-05,3.17259417475728e-06,6.34518834951456e-06,60
2015-08-29,0.00657414170927684,0.0029218407596786,0.0014609203798393,0.000730460189919649,0.00814518,5.35475675675676e-05,2.37989189189189e-05,1.18994594594595e-05,5.94972972972973e-06,61
2015-09-05,0.00476676881171263,0.00136193394620361,0.000680966973101805,0.013959822948587,0.0086067,4.10261491317671e-05,1.17217568947906e-05,5.8608784473953e-06,0.000120148008171604,62
2015-09-12,0.00511836212412028,0.00191938579654511,0.000319897632757518,0.00127959053103007,0.00886704,4.53847216890595e-05,1.70192706333973e-05,2.83654510556622e-06,1.13461804222649e-05,63
2015-09-19,0.00401482396541075,0.00216182828906733,0.000617665225447807,0.00339715873996294,0.0100845,4.04874922791847e-05,2.18009573810994e-05,6.22884496602841e-06,3.42586473131563e-05,64
2015-09-26,0.00568666477111174,0.00255899914700028,0.000852999715666761,0.00170599943133352,0.0106625,6.0634063121979e-05,2.72853284048905e-05,9.09510946829684e-06,1.81902189365937e-05,65
2015-10-03,0.00321629589922273,0.00348432055749129,0.00107209863307424,0.0013401232913428,0.0105995,3.40911283838113e-05,3.69320557491289e-05,1.13637094612704e-05,1.4204636826588e-05,66
2015-10-10,0.00587484035759898,0.00357598978288633,0.00102171136653895,0.00255427841634738,0.0122559,7.20014559386973e-05,4.38269731800766e-05,1.25219923371648e-05,3.13049808429119e-05,67
2015-10-17,0.00335720680393912,0.00402864816472695,0.000895255147717099,0.00246195165622202,0.0131066,4.40015666965085e-05,5.28018800358102e-05,1.17337511190689e-05,3.22678155774396e-05,68
2015-10-24,0.00373626373626374,0.00263736263736264,0.00043956043956044,0.00461538461538462,0.013711,5.12279120879121e-05,3.61608791208791e-05,6.02681318681319e-06,6.32815384615385e-05,69
2015-10-31,0.00441501103752759,0.00551876379690949,0.000441501103752759,0.00750551876379691,0.0139171,6.14441501103753e-05,7.68051876379691e-05,6.14441501103753e-06,0.000104455055187638,70
2015-11-07,0.00713835817761915,0.00293932395549024,0.000419903422212891,0.00524879277766114,0.0143712,0.0001025867730422,4.22416124291413e-05,6.0345160613059e-06,7.54314507663237e-05,71
2015-11-14,0.0122850122850123,0.00491400491400491,0.000189000189000189,0.0068040068040068,0.0150165,0.000184477886977887,7.37911547911548e-05,2.83812133812134e-06,0.000102172368172368,72
2015-11-21,0.0138644795938293,0.00722515133762937,0.00117164616285882,0.00976371802382347,0.0159805,0.00022156131614919,0.000115461530950986,1.87234915055653e-05,0.000156029095879711,73
2015-11-28,0.0169983416252073,0.0105721393034826,0,0.0109867330016584,0.0189668,0.000322404145936982,0.000200519651741294,0,0.000208383167495854,74
2015-12-05,0.0197838431947243,0.00897600293093973,0.00183183733284484,0.0131892287964829,0.0167728,0.000331830445136472,0.000150552701960066,3.072504121634e-05,0.000221220296757648,75
2015-12-12,0.0300037271710772,0.0119269474468878,0.00149086843086098,0.0203130823704808,0.0178296,0.000534954453969437,0.000212652702199031,2.65815877748789e-05,0.000362174133432725,76
2015-12-19,0.0373379429559205,0.0176318063958513,0.0010371650821089,0.0248919619706137,0.0187336,0.000699474088159032,0.000330307208297321,1.94298357821953e-05,0.000466316058772688,77
2015-12-26,0.0407293796864349,0.0160190865712338,0.00136332651670075,0.028118609406953,0.0232148,0.000945524403544649,0.000371879890933879,3.16493524199046e-05,0.000652767893660532,78
2016-01-02,0.0473799811735174,0.0197678067147788,0.00109821148415438,0.0337307812990273,0.0336832,0.00159590938186382,0.000665842987135237,3.69912770630687e-05,0.0011361606526514,79
2016-01-09,0.0421114197982161,0.02061704927621,0.0027781839450212,0.0337768679631525,0.0194328,0.000818342798654774,0.000400646995174733,5.3987892966808e-05,0.00065637911975435,80
2016-01-16,0.046908315565032,0.024063356685958,0.0022844958879074,0.035485836125495,0.0199796,0.000937209381663113,0.000480776241242766,4.56433140420347e-05,0.000708992811452939,81
